Date;Precipitation;MaxTemp;MinTemp;Insolation;Evaporation;AvgTemp;AvgHumidity;AvgWindSpeed;Precipitation__2
29221.0;8.0;33.0;22.8;6.7;1.5;27.3;;1.9;
29222.0;0.0;32.7;21.9;7.5;2.6;27.26;;1.633333;
29223.0;0.0;27.8;22.8;3.7;2.6;25.12;;2.1;8.0
29224.0;16.6;30.6;23.5;1.6;1.5;26.74;;1.366667;0.0
29225.0;4.8;30.8;23.2;4.4;1.5;25.82;;0.533333;0.0
29226.0;15.0;30.8;22.5;3.4;1.2;25.12;;2.066667;16.6
29227.0;6.2;30.6;22.4;2.0;1.3;25.0;;0.866667;4.8
29228.0;26.4;31.3;22.5;2.6;0.7;26.26;;1.733333;15.0
29229.0;1.1;30.6;23.0;0.1;1.7;25.38;;1.266667;6.2
29230.0;9.2;29.8;22.3;0.1;0.7;25.06;;0.6;26.4
29231.0;4.4;29.5;23.0;0.1;1.1;25.32;;1.366667;1.1
29232.0;7.5;30.2;22.6;3.2;0.7;25.14;;0.7;9.2
29233.0;75.1;29.4;21.8;0.0;1.1;24.48;;1.066667;4.4
29234.0;1.3;28.1;21.8;1.2;0.4;23.96;;2.266667;7.5
29235.0;82.9;29.3;21.8;0.8;0.9;25.2;;1.866667;75.1
29236.0;0.0;31.0;22.0;3.8;1.5;26.5;;1.5;1.3
29237.0;0.0;31.6;21.5;1.8;1.9;25.54;;1.366667;82.9
29238.0;27.5;31.5;22.3;5.5;2.3;25.76;;2.666667;0.0
29239.0;20.0;27.7;22.6;0.0;1.1;24.6;;1.633333;0.0
29240.0;0.3;31.4;22.2;4.8;1.9;25.5;;1.9;27.5
29241.0;1.1;30.8;22.4;3.4;1.5;26.32;;1.466667;20.0
29242.0;3.2;30.4;22.1;4.2;1.0;25.7;;2.533333;0.3
29243.0;21.3;30.5;23.2;4.1;0.8;25.7;;1.133333;1.1
29244.0;2.1;31.0;21.8;7.1;1.2;26.34;;2.666667;3.2
29245.0;0.0;32.1;22.3;7.9;3.5;26.8;;2.533333;21.3
29246.0;0.3;32.0;22.4;7.3;3.8;26.54;;1.533333;2.1
29247.0;6.9;31.4;23.8;5.6;2.0;26.16;;1.7;0.0
29248.0;8.2;31.6;22.9;1.1;1.5;26.58;;2.0;0.3
29249.0;0.3;31.8;23.0;2.1;1.5;26.08;;1.633333;6.9
29250.0;34.4;32.4;23.2;5.0;1.1;26.24;;1.066667;8.2
29251.0;2.1;31.7;23.2;5.6;1.9;26.58;;1.733333;0.3
29252.0;0.7;32.4;23.0;2.6;1.5;25.8;;1.633333;34.4
29253.0;22.8;29.9;22.6;0.4;1.5;25.16;;1.733333;2.1
29254.0;11.7;31.0;23.0;4.0;1.0;26.08;;0.8;0.7
29255.0;0.3;31.2;22.4;4.7;1.4;26.48;;2.033333;22.8
29256.0;21.8;27.0;23.0;0.0;1.4;24.54;;0.433333;11.7
29257.0;5.4;30.2;22.5;2.6;0.7;25.64;;3.1;0.3
29258.0;3.4;26.0;22.7;0.0;1.3;23.8;;1.433333;21.8
29259.0;3.9;29.4;22.4;1.2;0.5;24.94;;2.066667;5.4
29260.0;23.4;30.4;23.0;2.6;0.7;24.92;;0.833333;3.4
29261.0;44.6;25.8;22.4;0.0;1.1;23.88;;1.9;3.9
29262.0;117.4;28.5;23.2;0.7;0.2;24.54;;1.266667;23.4
29263.0;29.6;28.2;22.2;0.1;0.7;24.56;;1.2;44.6
29264.0;63.8;27.0;22.4;0.1;0.6;23.92;;2.8;117.4
29265.0;4.1;30.5;22.3;2.6;0.6;24.74;;1.1;29.6
29266.0;49.4;27.3;22.2;0.0;0.7;24.34;;0.433333;63.8
29267.0;23.3;29.9;21.8;1.7;0.7;24.92;;1.633333;4.1
29268.0;7.2;29.0;22.4;0.4;1.1;24.96;;0.0;49.4
29269.0;55.5;29.1;22.6;0.0;0.5;24.46;;0.7;23.3
29270.0;48.4;26.2;22.0;0.3;0.4;23.82;;1.1;7.2
29271.0;11.3;27.7;22.3;0.1;0.6;24.5;;1.433333;55.5
29272.0;9.6;27.3;22.4;0.8;0.5;24.06;;1.433333;48.4
29273.0;36.1;28.6;22.2;0.0;0.5;24.3;;1.066667;11.3
29274.0;3.8;29.3;22.2;1.7;0.3;25.24;;1.5;9.6
29275.0;0.0;31.6;22.8;1.7;1.9;25.76;;1.366667;36.1
29276.0;0.2;28.3;22.3;1.8;1.4;25.08;;1.266667;3.8
29277.0;16.2;27.8;22.8;0.4;1.2;24.82;;2.4;0.0
29278.0;6.0;30.2;22.2;2.3;0.5;25.0;;1.0;0.2
29279.0;97.3;24.6;22.4;0.0;1.2;23.38;;1.233333;16.2
29280.0;59.0;27.0;22.2;0.0;0.1;23.96;;0.7;6.0
29281.0;17.3;26.1;22.2;0.0;0.5;24.2;;0.533333;97.3
29282.0;8.8;30.0;22.3;2.8;0.2;24.66;;1.533333;59.0
29283.0;30.3;28.6;22.4;0.3;1.0;25.26;;1.733333;17.3
29284.0;5.8;29.3;22.3;1.0;1.1;24.86;;1.0;8.8
29285.0;18.4;28.8;22.2;0.7;1.1;24.44;;1.2;30.3
29286.0;23.8;29.3;22.4;0.0;0.5;24.66;;1.7;5.8
29287.0;0.9;29.0;22.3;0.5;0.9;24.98;;1.5;18.4
29288.0;21.6;30.0;22.0;4.8;1.2;25.24;;0.0;23.8
29289.0;31.2;30.6;22.8;4.9;1.3;25.76;;1.8;0.9
29290.0;4.7;30.3;21.8;4.4;1.1;25.0;;1.766667;21.6
29291.0;56.8;32.0;21.4;9.0;1.0;26.16;;1.533333;31.2
29292.0;0.0;30.3;22.8;4.7;2.1;25.96;;2.2;4.7
29293.0;4.6;31.2;22.3;7.7;1.1;25.52;;1.9;56.8
29294.0;38.2;32.4;22.2;5.6;1.6;25.6;;0.533333;0.0
29295.0;2.1;31.7;22.2;6.8;1.6;25.86;;1.633333;4.6
29296.0;0.2;29.9;23.0;3.9;1.8;25.4;;1.366667;38.2
29297.0;21.2;28.9;22.3;0.8;0.8;24.88;;1.033333;2.1
29298.0;2.3;30.3;22.5;1.7;0.6;25.16;;1.3;0.2
29299.0;78.4;30.0;22.2;0.6;0.9;24.92;;1.5;21.2
29300.0;32.6;30.2;22.2;3.8;0.9;25.2;;0.966667;2.3
29301.0;20.0;30.0;22.8;2.0;0.1;25.1;;0.866667;78.4
29302.0;35.6;28.9;21.3;0.9;1.1;25.1;;2.7;32.6
29303.0;0.0;31.0;22.4;3.4;11.7;25.62;;1.633333;20.0
