Date;Precipitation;MaxTemp;MinTemp;Insolation;Evaporation;AvgTemp;AvgHumidity;AvgWindSpeed
29221;8;33;22.8;6.7;1.5;27.3;;1.9
29222;0;32.7;21.9;7.5;2.6;27.26;;1.633333
29223;0;27.8;22.8;3.7;2.6;25.12;;2.1
29224;16.6;30.6;23.5;1.6;1.5;26.74;;1.366667
29225;4.8;30.8;23.2;4.4;1.5;25.82;;0.533333
29226;15;30.8;22.5;3.4;1.2;25.12;;2.066667
29227;6.2;30.6;22.4;2;1.3;25;;0.866667
29228;26.4;31.3;22.5;2.6;0.7;26.26;;1.733333
29229;1.1;30.6;23;0.1;1.7;25.38;;1.266667
29230;9.2;29.8;22.3;0.1;0.7;25.06;;0.6
29231;4.4;29.5;23;0.1;1.1;25.32;;1.366667
29232;7.5;30.2;22.6;3.2;0.7;25.14;;0.7
29233;75.1;29.4;21.8;0;1.1;24.48;;1.066667
29234;1.3;28.1;21.8;1.2;0.4;23.96;;2.266667
29235;82.9;29.3;21.8;0.8;0.9;25.2;;1.866667
29236;0;31;22;3.8;1.5;26.5;;1.5
29237;0;31.6;21.5;1.8;1.9;25.54;;1.366667
29238;27.5;31.5;22.3;5.5;2.3;25.76;;2.666667
29239;20;27.7;22.6;0;1.1;24.6;;1.633333
29240;0.3;31.4;22.2;4.8;1.9;25.5;;1.9
29241;1.1;30.8;22.4;3.4;1.5;26.32;;1.466667
29242;3.2;30.4;22.1;4.2;1;25.7;;2.533333
29243;21.3;30.5;23.2;4.1;0.8;25.7;;1.133333
29244;2.1;31;21.8;7.1;1.2;26.34;;2.666667
29245;0;32.1;22.3;7.9;3.5;26.8;;2.533333
29246;0.3;32;22.4;7.3;3.8;26.54;;1.533333
29247;6.9;31.4;23.8;5.6;2;26.16;;1.7
29248;8.2;31.6;22.9;1.1;1.5;26.58;;2
29249;0.3;31.8;23;2.1;1.5;26.08;;1.633333
29250;34.4;32.4;23.2;5;1.1;26.24;;1.066667
29251;2.1;31.7;23.2;5.6;1.9;26.58;;1.733333
29252;0.7;32.4;23;2.6;1.5;25.8;;1.633333
29253;22.8;29.9;22.6;0.4;1.5;25.16;;1.733333
29254;11.7;31;23;4;1;26.08;;0.8
29255;0.3;31.2;22.4;4.7;1.4;26.48;;2.033333
29256;21.8;27;23;0;1.4;24.54;;0.433333
29257;5.4;30.2;22.5;2.6;0.7;25.64;;3.1
29258;3.4;26;22.7;0;1.3;23.8;;1.433333
29259;3.9;29.4;22.4;1.2;0.5;24.94;;2.066667
29260;23.4;30.4;23;2.6;0.7;24.92;;0.833333
29261;44.6;25.8;22.4;0;1.1;23.88;;1.9
29262;117.4;28.5;23.2;0.7;0.2;24.54;;1.266667
29263;29.6;28.2;22.2;0.1;0.7;24.56;;1.2
29264;63.8;27;22.4;0.1;0.6;23.92;;2.8
29265;4.1;30.5;22.3;2.6;0.6;24.74;;1.1
29266;49.4;27.3;22.2;0;0.7;24.34;;0.433333
29267;23.3;29.9;21.8;1.7;0.7;24.92;;1.633333
29268;7.2;29;22.4;0.4;1.1;24.96;;0
29269;55.5;29.1;22.6;0;0.5;24.46;;0.7
29270;48.4;26.2;22;0.3;0.4;23.82;;1.1
29271;11.3;27.7;22.3;0.1;0.6;24.5;;1.433333
29272;9.6;27.3;22.4;0.8;0.5;24.06;;1.433333
29273;36.1;28.6;22.2;0;0.5;24.3;;1.066667
29274;3.8;29.3;22.2;1.7;0.3;25.24;;1.5
29275;0;31.6;22.8;1.7;1.9;25.76;;1.366667
29276;0.2;28.3;22.3;1.8;1.4;25.08;;1.266667
29277;16.2;27.8;22.8;0.4;1.2;24.82;;2.4
29278;6;30.2;22.2;2.3;0.5;25;;1
29279;97.3;24.6;22.4;0;1.2;23.38;;1.233333
29280;59;27;22.2;0;0.1;23.96;;0.7
29281;17.3;26.1;22.2;0;0.5;24.2;;0.533333
29282;8.8;30;22.3;2.8;0.2;24.66;;1.533333
29283;30.3;28.6;22.4;0.3;1;25.26;;1.733333
29284;5.8;29.3;22.3;1;1.1;24.86;;1
29285;18.4;28.8;22.2;0.7;1.1;24.44;;1.2
29286;23.8;29.3;22.4;0;0.5;24.66;;1.7
29287;0.9;29;22.3;0.5;0.9;24.98;;1.5
29288;21.6;30;22;4.8;1.2;25.24;;0
29289;31.2;30.6;22.8;4.9;1.3;25.76;;1.8
29290;4.7;30.3;21.8;4.4;1.1;25;;1.766667
29291;56.8;32;21.4;9;1;26.16;;1.533333
29292;0;30.3;22.8;4.7;2.1;25.96;;2.2
29293;4.6;31.2;22.3;7.7;1.1;25.52;;1.9
29294;38.2;32.4;22.2;5.6;1.6;25.6;;0.533333
29295;2.1;31.7;22.2;6.8;1.6;25.86;;1.633333
29296;0.2;29.9;23;3.9;1.8;25.4;;1.366667
29297;21.2;28.9;22.3;0.8;0.8;24.88;;1.033333
29298;2.3;30.3;22.5;1.7;0.6;25.16;;1.3
29299;78.4;30;22.2;0.6;0.9;24.92;;1.5
29300;32.6;30.2;22.2;3.8;0.9;25.2;;0.966667
29301;20;30;22.8;2;0.1;25.1;;0.866667
29302;35.6;28.9;21.3;0.9;1.1;25.1;;2.7
29303;0;31;22.4;3.4;11.7;25.62;;1.633333
29304;17;31;21.8;0.7;1.2;24.82;;1.5
29305;25.6;32;22.1;3.6;0.6;25.04;;0.766667
29306;43.8;32.3;22.9;5.3;1.5;25.86;;2.033333
29307;31.2;32.2;22;5.3;2.5;25.34;;1.366667
29308;9.2;32.2;22;7.5;1.5;25.84;;2.533333
29309;16;30.1;23.4;2.1;2.6;26.32;;1.4
29310;17.8;32.3;22.6;5.8;1;25.62;;1.7
29311;14.8;32;22.8;2.8;1.9;25.5;;2.733333
29312;4.2;32.6;22.9;7;1.7;25.92;;2.033333
29313;18.2;31.7;24.2;4.7;2.3;26.52;;1.666667
29314;12.4;31.3;22.2;7.6;1;25.82;;1.566667
29315;1.7;30.8;23.2;4.6;1.6;26.08;;2
29316;36.8;31.6;23.4;2.7;0.9;25.74;;1.666667
29317;23;29;23;2.4;0.8;25.74;;1.033333
29318;0.4;29.8;23.4;1.3;1.1;25.34;;2.033333
29319;10;30.4;23.4;0.3;1;25.58;;1.9
29320;6.9;31;22.8;4.3;0.5;25.68;;1.7
29321;15.4;32.3;23;6.8;2;26.24;;1.366667
29322;1.5;31;22.8;2.4;1.2;25.38;;0.533333
29323;53.7;30.8;22.8;3.1;1.1;25.08;;0.433333
29324;14.7;30;22.4;0.3;1.3;25.68;;0.433333
29325;0;30.6;22.8;2.5;0.7;26.18;;1.666667
29326;18.4;32.2;21.8;8.3;1.2;26.2;;1.833333
29327;0.2;32.4;23.3;6.8;2.7;26.76;;1.633333
29328;20.4;30.4;23.4;5.3;1.6;26.08;;2.3
29329;11.4;30.2;23;3.4;1.1;25.64;;1.6
29330;6.7;32.4;22.5;9.8;1.3;26.42;;1.933333
29331;17.2;32.4;23.4;7.1;3;26.36;;2.033333
29332;16.4;32.4;22.3;7.6;2.2;26.1;;1.633333
29333;10;27.2;23.8;0.1;2.5;25.16;;0.5
29334;2.3;31;23.7;5.6;0.7;26.32;;1.8
29335;4.9;30.3;22.3;3.2;2.1;25.32;;1.366667
29336;22.9;32.2;22.2;5.8;2;25.8;;1.733333
29337;7.4;32;21.2;4.6;2.6;25.6;;1.8
29338;2.6;30;23.2;0.5;1;25.58;;1.8
29339;20.8;30;22.4;0.1;1.2;24.8;;1.566667
29340;1.1;32.3;22.6;6.9;1;26.66;;1.8
29341;11.2;32;22.2;5.6;1.6;26.1;;0.866667
29342;5;30.9;22.4;3.5;1.6;26.26;;1.966667
29343;0;31.2;23.4;5.6;1.7;26.04;;1.266667
29344;18.1;32.2;22.1;6.9;1;25.76;;0.966667
29345;10;31.8;22.2;7.1;1.7;26.3;;1.9
29346;1.1;32.4;23.4;6.6;2;26.58;;1.6
29347;19.5;32.2;23.2;9.4;1.5;27.34;;2.3
29348;3.7;32.3;21.2;10.2;2.8;26.7;;1.966667
29349;0;33.3;23.6;9.5;2.8;27.38;;1.866667
29350;0;32.8;23.4;7.2;2.8;26.44;;1.2
29351;8.1;32;23.2;6;2.1;26.48;;0.8
29352;3.6;32.2;23;5.8;1.6;26.04;;1.2
29353;4.1;32.4;23.2;9.1;2.2;26.1;;2.533333
29354;21;31.2;23;4;2.6;25.96;;2.2
29355;19;32.6;23.2;8.6;2;26.48;;1.5
29356;15.7;32;23;8.7;2.1;25.62;;1.2
29357;4.4;32.7;22.8;6.2;3.6;26.22;;1.266667
29358;3.7;32;23.2;7;1.8;26.04;;1.033333
29359;15.2;32;22.2;7.1;1.7;26.36;;1.833333
29360;0.2;32.2;23.1;10;2.8;26.9;;1.933333
29361;0.8;32.4;23.1;9;3.5;26.6;;1.933333
29362;0.3;32.3;23.3;9.7;2.4;26.98;;1.766667
29363;2.3;32.9;23.6;9.9;3.2;27.76;;2.866667
29364;0;32.9;23.4;9.3;4;27.64;;3.4
29365;0;32.4;24;8.4;1.7;26.88;;2.833333
29366;0.3;32.4;23.4;8.8;4.3;26.28;;1.366667
29367;18.5;31.5;20.6;6.7;2.9;26.12;;2.9
29368;0;32.2;23;8.4;3.1;26.32;;1.166667
29369;0.2;32;22.7;7.8;3.6;26.44;;2.7
