Date;Precipitation;MaxTemp;MinTemp;Insolation;Evaporation;AvgTemp;AvgHumidity;WindSpeed;SolarNoonAngle;NoonAngle;Precipitation__1;Precipitation__2;Precipitation__3;MaxTemp__1;MaxTemp__2;MaxTemp__3;MinTemp__1;MinTemp__2;MinTemp__3;Insolation__1;Insolation__2;Insolation__3;Evaporation__1;Evaporation__2;Evaporation__3;AvgTemp__1;AvgTemp__2;AvgTemp__3;AvgHumidity__1;AvgHumidity__2;AvgHumidity__3;WindSpeed__1;WindSpeed__2;WindSpeed__3;SolarNoonAngle__1;SolarNoonAngle__2;SolarNoonAngle__3;NoonAngle__1;NoonAngle__2;NoonAngle__3
40182.0;4.6;31.9;23.9;1.4;4.0;26.4;81.5;1.0;-15.25551264;74.74369085434336;0.0;0.0;0.0;34.6;33.9;33.7;22.9;22.8;22.5;8.3;8.7;9.5;4.1;3.5;1.7;28.68;27.7;27.14;73.0;75.25;79.25;0.0;1.0;1.666667;-15.34166747;-15.4210242;-15.4935593;74.65765300236625;74.57840415997259;74.50596777816989
40183.0;31.8;29.1;23.3;0.3;1.4;24.98;88.5;1.0;-15.16258522;74.83649225591934;4.6;0.0;0.0;31.9;34.6;33.9;23.9;22.9;22.8;1.4;8.3;8.7;4.0;4.1;3.5;26.4;28.68;27.7;81.5;73.0;75.25;1.0;0.0;1.0;-15.25551264;-15.34166747;-15.4210242;74.74369085434336;74.65765300236625;74.57840415997259
40184.0;11.9;31.5;22.7;2.5;1.3;26.34;86.5;0.0;-15.06291275;74.93602974566643;31.8;4.6;0.0;29.1;31.9;34.6;23.3;23.9;22.9;0.3;1.4;8.3;1.4;4.0;4.1;24.98;26.4;28.68;88.5;81.5;73.0;1.0;1.0;0.0;-15.16258522;-15.25551264;-15.34166747;74.83649225591934;74.74369085434336;74.65765300236625
40185.0;0.0;33.1;22.7;9.2;1.7;27.42;82.5;1.0;-14.95652478;75.04227386883927;11.9;31.8;4.6;31.5;29.1;31.9;22.7;23.3;23.9;2.5;0.3;1.4;1.3;1.4;4.0;26.34;24.98;26.4;86.5;88.5;81.5;0.0;1.0;1.0;-15.06291275;-15.16258522;-15.25551264;74.93602974566643;74.83649225591934;74.74369085434336
40186.0;0.0;33.7;23.8;8.2;2.9;27.52;80.25;0.0;-14.84345282;75.15519318609392;0.0;11.9;31.8;33.1;31.5;29.1;22.7;22.7;23.3;9.2;2.5;0.3;1.7;1.3;1.4;27.42;26.34;24.98;82.5;86.5;88.5;1.0;0.0;1.0;-14.95652478;-15.06291275;-15.16258522;75.04227386883927;74.93602974566643;74.83649225591934
40187.0;39.3;29.7;23.5;0.0;3.2;25.68;94.5;0.0;-14.72373038;75.27475428278704;0.0;0.0;11.9;33.7;33.1;31.5;23.8;22.7;22.7;8.2;9.2;2.5;2.9;1.7;1.3;27.52;27.42;26.34;80.25;82.5;86.5;0.0;1.0;0.0;-14.84345282;-14.95652478;-15.06291275;75.15519318609392;75.04227386883927;74.93602974566643
40188.0;16.8;30.7;23.0;1.4;1.1;26.42;88.0;1.666667;-14.59739293;75.40092177886656;39.3;0.0;0.0;29.7;33.7;33.1;23.5;23.8;22.7;0.0;8.2;9.2;3.2;2.9;1.7;25.68;27.52;27.42;94.5;80.25;82.5;0.0;0.0;1.0;-14.72373038;-14.84345282;-14.95652478;75.27475428278704;75.15519318609392;75.04227386883927
40189.0;1.0;32.7;22.6;2.0;1.4;26.4;87.5;0.0;-14.46447792;75.53365833934053;16.8;39.3;0.0;30.7;29.7;33.7;23.0;23.5;23.8;1.4;0.0;8.2;1.1;3.2;2.9;26.42;25.68;27.52;88.0;94.5;80.25;1.666667;0.0;0.0;-14.59739293;-14.72373038;-14.84345282;75.40092177886656;75.27475428278704;75.15519318609392
40190.0;0.2;33.4;23.6;2.1;2.0;27.26;84.0;0.0;-14.32502473;75.6729246853252;1.0;16.8;39.3;32.7;30.7;29.7;22.6;23.0;23.5;2.0;1.4;0.0;1.4;1.1;3.2;26.4;26.42;25.68;87.5;88.0;94.5;0.0;1.666667;0.0;-14.46447792;-14.59739293;-14.72373038;75.53365833934053;75.40092177886656;75.27475428278704
40191.0;0.0;33.1;23.3;4.6;2.2;27.04;86.75;1.0;-14.17907468;75.81867960566821;0.2;1.0;16.8;33.4;32.7;30.7;23.6;22.6;23.0;2.1;2.0;1.4;2.0;1.4;1.1;27.26;26.4;26.42;84.0;87.5;88.0;0.0;0.0;1.666667;-14.32502473;-14.46447792;-14.59739293;75.6729246853252;75.53365833934053;75.40092177886656
40192.0;0.0;33.6;24.0;4.4;2.6;27.7;76.5;1.333333;-14.02667102;75.97087996914365;0.0;0.2;1.0;33.1;33.4;32.7;23.3;23.6;22.6;4.6;2.1;2.0;2.2;2.0;1.4;27.04;27.26;26.4;86.75;84.0;87.5;1.0;0.0;0.0;-14.17907468;-14.32502473;-14.46447792;75.81867960566821;75.6729246853252;75.53365833934053
