Date;Precipitation;MaxTemp;MinTemp;Insolation;Evaporation;AvgTemp;AvgHumidity;AvgWindSpeed;SolarNoonAngle;NoonAngle;Precipitation__1;Precipitation__2;Precipitation__3;MaxTemp__1;MaxTemp__2;MaxTemp__3;MinTemp__1;MinTemp__2;MinTemp__3;Insolation__1;Insolation__2;Insolation__3;Evaporation__1;Evaporation__2;Evaporation__3;AvgTemp__1;AvgTemp__2;AvgTemp__3;AvgHumidity__1;AvgHumidity__2;AvgHumidity__3;AvgWindSpeed__1;AvgWindSpeed__2;AvgWindSpeed__3;SolarNoonAngle__1;SolarNoonAngle__2;SolarNoonAngle__3;NoonAngle__1;NoonAngle__2;NoonAngle__3
40182.0;18.8;32.5;22.5;6.9;2.0;26.76;65.25;1.033333;-15.82551264;74.24369085434336;0.0;16.7;1.4;30.6;26.5;27.1;21.1;21.0;22.3;4.3;0.1;0.1;1.0;0.6;3.9;25.26;23.58;24.2;77.75;85.25;91.0;1.433333;0.833333;1.433333;-15.91166747;-15.9910242;-16.0635593;74.15765300236625;74.07840415997259;74.00596777816989
40183.0;0.0;34.6;22.8;8.7;4.6;28.64;52.75;0.966667;-15.73258522;74.33649225591934;18.8;0.0;16.7;32.5;30.6;26.5;22.5;21.1;21.0;6.9;4.3;0.1;2.0;1.0;0.6;26.76;25.26;23.58;65.25;77.75;85.25;1.033333;1.433333;0.833333;-15.82551264;-15.91166747;-15.9910242;74.24369085434336;74.15765300236625;74.07840415997259
40184.0;0.0;34.8;24.7;8.1;6.4;28.22;55.25;1.466667;-15.63291275;74.43602974566643;0.0;18.8;0.0;34.6;32.5;30.6;22.8;22.5;21.1;8.7;6.9;4.3;4.6;2.0;1.0;28.64;26.76;25.26;52.75;65.25;77.75;0.966667;1.033333;1.433333;-15.73258522;-15.82551264;-15.91166747;74.33649225591934;74.24369085434336;74.15765300236625
40185.0;1.0;33.3;23.4;4.5;5.3;27.78;60.0;1.133333;-15.52652478;74.54227386883927;0.0;0.0;18.8;34.8;34.6;32.5;24.7;22.8;22.5;8.1;8.7;6.9;6.4;4.6;2.0;28.22;28.64;26.76;55.25;52.75;65.25;1.466667;0.966667;1.033333;-15.63291275;-15.73258522;-15.82551264;74.43602974566643;74.33649225591934;74.24369085434336
40186.0;0.0;28.5;23.4;0.0;5.2;25.22;83.5;0.866667;-15.41345282;74.65519318609392;1.0;0.0;0.0;33.3;34.8;34.6;23.4;24.7;22.8;4.5;8.1;8.7;5.3;6.4;4.6;27.78;28.22;28.64;60.0;55.25;52.75;1.133333;1.466667;0.966667;-15.52652478;-15.63291275;-15.73258522;74.54227386883927;74.43602974566643;74.33649225591934
40187.0;6.8;26.0;22.3;0.0;0.8;24.26;92.75;0.8;-15.29373038;74.77475428278704;0.0;1.0;0.0;28.5;33.3;34.8;23.4;23.4;24.7;0.0;4.5;8.1;5.2;5.3;6.4;25.22;27.78;28.22;83.5;60.0;55.25;0.866667;1.133333;1.466667;-15.41345282;-15.52652478;-15.63291275;74.65519318609392;74.54227386883927;74.43602974566643
40188.0;4.3;32.6;22.7;6.9;0.8;25.42;71.5;1.233333;-15.16739293;74.90092177886656;6.8;0.0;1.0;26.0;28.5;33.3;22.3;23.4;23.4;0.0;0.0;4.5;0.8;5.2;5.3;24.26;25.22;27.78;92.75;83.5;60.0;0.8;0.866667;1.133333;-15.29373038;-15.41345282;-15.52652478;74.77475428278704;74.65519318609392;74.54227386883927
40189.0;0.0;33.2;20.4;9.0;3.2;26.4;59.75;0.833333;-15.03447792;75.03365833934053;4.3;6.8;0.0;32.6;26.0;28.5;22.7;22.3;23.4;6.9;0.0;0.0;0.8;0.8;5.2;25.42;24.26;25.22;71.5;92.75;83.5;1.233333;0.8;0.866667;-15.16739293;-15.29373038;-15.41345282;74.90092177886656;74.77475428278704;74.65519318609392
40190.0;0.0;35.0;21.7;9.7;4.2;27.74;49.25;1.2;-14.89502473;75.1729246853252;0.0;4.3;6.8;33.2;32.6;26.0;20.4;22.7;22.3;9.0;6.9;0.0;3.2;0.8;0.8;26.4;25.42;24.26;59.75;71.5;92.75;0.833333;1.233333;0.8;-15.03447792;-15.16739293;-15.29373038;75.03365833934053;74.90092177886656;74.77475428278704
40191.0;0.0;31.0;22.3;2.7;7.4;25.46;73.25;1.2;-14.74907468;75.31867960566821;0.0;0.0;4.3;35.0;33.2;32.6;21.7;20.4;22.7;9.7;9.0;6.9;4.2;3.2;0.8;27.74;26.4;25.42;49.25;59.75;71.5;1.2;0.833333;1.233333;-14.89502473;-15.03447792;-15.16739293;75.1729246853252;75.03365833934053;74.90092177886656
40192.0;4.0;34.1;22.7;5.1;3.7;25.76;75.25;0.866667;-14.59667102;75.47087996914365;0.0;0.0;0.0;31.0;35.0;33.2;22.3;21.7;20.4;2.7;9.7;9.0;7.4;4.2;3.2;25.46;27.74;26.4;73.25;49.25;59.75;1.2;1.2;0.833333;-14.74907468;-14.89502473;-15.03447792;75.31867960566821;75.1729246853252;75.03365833934053
40193.0;1.3;34.8;22.3;9.9;3.5;27.98;52.25;2.033333;-14.43785892;75.62948073721532;4.0;0.0;0.0;34.1;31.0;35.0;22.7;22.3;21.7;5.1;2.7;9.7;3.7;7.4;4.2;25.76;25.46;27.74;75.25;73.25;49.25;0.866667;1.2;1.2;-14.59667102;-14.74907468;-14.89502473;75.47087996914365;75.31867960566821;75.1729246853252
40194.0;0.0;35.0;22.8;10.4;6.8;29.24;40.0;1.766667;-14.27268542;75.79443497736429;1.3;4.0;0.0;34.8;34.1;31.0;22.3;22.7;22.3;9.9;5.1;2.7;3.5;3.7;7.4;27.98;25.76;25.46;52.25;75.25;73.25;2.033333;0.866667;1.2;-14.43785892;-14.59667102;-14.74907468;75.62948073721532;75.47087996914365;75.31867960566821
40195.0;0.0;35.2;22.4;11.0;7.9;28.64;44.0;2.433333;-14.10119948;75.96569387697704;0.0;1.3;4.0;35.0;34.8;34.1;22.8;22.3;22.7;10.4;9.9;5.1;6.8;3.5;3.7;29.24;27.98;25.76;40.0;52.25;75.25;1.766667;2.033333;0.866667;-14.27268542;-14.43785892;-14.59667102;75.79443497736429;75.62948073721532;75.47087996914365
40196.0;0.0;34.0;21.8;7.2;9.2;27.76;51.5;1.433333;-13.9234519;76.1432067577899;0.0;0.0;1.3;35.2;35.0;34.8;22.4;22.8;22.3;11.0;10.4;9.9;7.9;6.8;3.5;28.64;29.24;27.98;44.0;40.0;52.25;2.433333;1.766667;2.033333;-14.10119948;-14.27268542;-14.43785892;75.96569387697704;75.79443497736429;75.62948073721532
40197.0;0.0;35.3;23.1;10.2;7.2;29.28;48.5;1.3;-13.73949537;76.32692109088549;0.0;0.0;0.0;34.0;35.2;35.0;21.8;22.4;22.8;7.2;11.0;10.4;9.2;7.9;6.8;27.76;28.64;29.24;51.5;44.0;40.0;1.433333;2.433333;1.766667;-13.9234519;-14.10119948;-14.27268542;76.1432067577899;75.96569387697704;75.79443497736429
40198.0;0.0;36.0;23.6;11.8;9.3;29.44;43.25;1.866667;-13.54938439;76.51678251223701;0.0;0.0;0.0;35.3;34.0;35.2;23.1;21.8;22.4;10.2;7.2;11.0;7.2;9.2;7.9;29.28;27.76;28.64;48.5;51.5;44.0;1.3;1.433333;2.433333;-13.73949537;-13.9234519;-14.10119948;76.32692109088549;76.1432067577899;75.96569387697704
40199.0;0.0;36.1;23.1;9.3;10.2;28.92;52.0;2.3;-13.35317529;76.71273483879399;0.0;0.0;0.0;36.0;35.3;34.0;23.6;23.1;21.8;11.8;10.2;7.2;9.3;7.2;9.2;29.44;29.28;27.76;43.25;48.5;51.5;1.866667;1.3;1.433333;-13.54938439;-13.73949537;-13.9234519;76.51678251223701;76.32692109088549;76.1432067577899
40200.0;0.0;36.5;21.8;10.9;9.2;29.02;42.75;1.866667;-13.15092621;76.914720085113;0.0;0.0;0.0;36.1;36.0;35.3;23.1;23.6;23.1;9.3;11.8;10.2;10.2;9.3;7.2;28.92;29.44;29.28;52.0;43.25;48.5;2.3;1.866667;1.3;-13.35317529;-13.54938439;-13.73949537;76.71273483879399;76.51678251223701;76.32692109088549
