Date;Precipitation;MaxTemp;MinTemp;Insolation;Evaporation;AvgTemp;AvgHumidity;AvgWindSpeed;Precipitation__1;MaxTemp__1;MinTemp__1;Insolation__1;Precipitation__2;MaxTemp__2;MinTemp__2;Insolation__2
29223.0;0.0;28.4;14.5;11.7;5.0;21.24;59.0;2.166667;0.0;24.1;13.8;10.8;0.0;23.0;14.8;9.8
29224.0;0.0;28.0;15.9;11.1;7.7;22.22;63.75;3.333333;0.0;28.4;14.5;11.7;0.0;24.1;13.8;10.8
29225.0;0.0;28.9;19.5;11.3;10.3;23.34;69.0;3.766667;0.0;28.0;15.9;11.1;0.0;28.4;14.5;11.7
29226.0;0.0;33.3;21.0;6.3;8.0;25.6;63.75;1.766667;0.0;28.9;19.5;11.3;0.0;28.0;15.9;11.1
29227.0;0.6;30.7;20.9;7.9;5.6;25.54;62.5;3.5;0.0;33.3;21.0;6.3;0.0;28.9;19.5;11.3
29228.0;0.0;29.5;20.4;1.8;6.2;23.74;78.25;2.833333;0.6;30.7;20.9;7.9;0.0;33.3;21.0;6.3
29229.0;14.5;22.2;19.6;0.0;3.3;21.08;90.0;3.4;0.0;29.5;20.4;1.8;0.6;30.7;20.9;7.9
29230.0;25.2;27.0;19.8;6.3;1.7;22.92;71.75;3.666667;14.5;22.2;19.6;0.0;0.0;29.5;20.4;1.8
29231.0;0.1;31.3;17.7;9.5;4.8;24.26;71.0;3.733333;25.2;27.0;19.8;6.3;14.5;22.2;19.6;0.0
29232.0;0.0;27.0;20.7;6.8;4.8;23.26;74.25;3.633333;0.1;31.3;17.7;9.5;25.2;27.0;19.8;6.3
29233.0;0.0;28.6;20.0;12.2;6.0;23.6;68.75;4.966667;0.0;27.0;20.7;6.8;0.1;31.3;17.7;9.5
29234.0;0.0;27.3;19.8;12.1;8.8;23.0;67.5;5.033333;0.0;28.6;20.0;12.2;0.0;27.0;20.7;6.8
29235.0;0.0;28.4;19.0;12.1;9.6;23.26;70.75;5.833333;0.0;27.3;19.8;12.1;0.0;28.6;20.0;12.2
29236.0;1.8;27.5;20.7;5.6;11.5;23.08;80.0;4.633333;0.0;28.4;19.0;12.1;0.0;27.3;19.8;12.1
29237.0;0.0;30.2;21.2;8.5;6.9;25.1;74.5;3.4;1.8;27.5;20.7;5.6;0.0;28.4;19.0;12.1
29238.0;0.0;29.3;22.4;3.5;6.5;25.4;72.5;2.566667;0.0;30.2;21.2;8.5;1.8;27.5;20.7;5.6
29239.0;0.0;32.2;21.4;9.9;4.8;25.94;68.25;2.0;0.0;29.3;22.4;3.5;0.0;30.2;21.2;8.5
29243.0;0.0;36.2;22.2;7.3;6.5;29.76;47.5;3.933333;0.0;34.0;19.1;12.0;0.0;30.3;19.0;12.3
