Date;Precipitation;MaxTemp;MinTemp;Insolation;Evaporation;AvgTemp;AvgHumidity;AvgWindSpeed
29221;0;23;14.8;9.8;5.5;18.34;65;3.8
29222;0;24.1;13.8;10.8;4.8;18.9;69.5;2.2
29223;0;28.4;14.5;11.7;5;21.24;59;2.166667
29224;0;28;15.9;11.1;7.7;22.22;63.75;3.333333
29225;0;28.9;19.5;11.3;10.3;23.34;69;3.766667
29226;0;33.3;21;6.3;8;25.6;63.75;1.766667
29227;0.6;30.7;20.9;7.9;5.6;25.54;62.5;3.5
29228;0;29.5;20.4;1.8;6.2;23.74;78.25;2.833333
29229;14.5;22.2;19.6;0;3.3;21.08;90;3.4
29230;25.2;27;19.8;6.3;1.7;22.92;71.75;3.666667
29231;0.1;31.3;17.7;9.5;4.8;24.26;71;3.733333
29232;0;27;20.7;6.8;4.8;23.26;74.25;3.633333
29233;0;28.6;20;12.2;6;23.6;68.75;4.966667
29234;0;27.3;19.8;12.1;8.8;23;67.5;5.033333
29235;0;28.4;19;12.1;9.6;23.26;70.75;5.833333
29236;1.8;27.5;20.7;5.6;11.5;23.08;80;4.633333
29237;0;30.2;21.2;8.5;6.9;25.1;74.5;3.4
29238;0;29.3;22.4;3.5;6.5;25.4;72.5;2.566667
29239;0;32.2;21.4;9.9;4.8;25.94;68.25;2
29241;0;30.3;19;12.3;7.3;24.14;65;2.333333
29242;0;34;19.1;12;7.9;26.72;52;3.1
29243;0;36.2;22.2;7.3;6.5;29.76;47.5;3.933333
29245;9.1;25.4;12.8;11.1;6.2;19.98;66.25;3.533333
29246;0;29;16.6;12.3;7.8;22.82;67.25;1.333333
29247;0;32.2;17.6;10.7;5;24.08;70;2.366667
29248;0;27.5;22.2;4.3;6;23.5;74.75;3.466667
29249;0;29.8;18.5;12.5;4.6;23.66;65.25;4
29250;0;32.6;19.4;9.1;10;26.1;68.75;2.066667
29254;0;30;20.4;12.4;6;24.26;71;2.766667
29255;0;30.5;18.6;10.6;6.1;24.14;66.75;2.4
29256;0;32.2;21.9;3.3;6.8;25.06;78.5;0.6
29257;6.3;30.9;22.6;9.9;4.1;25.96;70;5.133333
29258;0;29.1;19.8;9.5;4.8;24.26;74;2.9
29259;0;30.6;19.6;11.2;4.8;24.36;64.75;1.966667
29260;0;34;21.9;11.7;7.3;26.9;66.75;2.666667
29262;12.2;26.4;20.8;4.5;4.1;22.76;73.75;2.666667
29263;0;31.9;18.8;12.1;4.7;25.22;73.5;2.266667
29264;0;29.6;20.8;9.5;4.1;25.44;78.25;4.066667
29265;0;30.6;21.8;12.1;5.1;25.16;69.5;5.4
29266;0;31.8;20.7;11.8;8.2;25.8;72.5;2.633333
29267;0;34.3;21.4;8.3;6.1;25.36;75.25;3.3
29268;42.2;25;21;0;4.7;22.66;81.75;2.8
29269;1.8;24.7;18.2;10.1;4.6;21.12;65.25;4.133333
29270;;25.4;17.6;5.6;9;21.5;66;4.233333
29272;2.5;25.5;20.4;5.4;7;22.9;84.75;2.966667
29273;2.4;28;20.8;7.3;3.5;23.64;79.5;1.566667
29274;0;28.2;20.7;8;3.5;23.88;82.25;4.866667
29275;1.5;31.1;21;6.4;3.5;23.52;85.25;2.133333
29276;17.5;27.8;20.5;1.6;3.5;24;82.75;0.533333
29277;0.6;29.7;21.6;9.7;1.7;25.74;74.25;2.166667
29278;0;30.4;22.6;7.7;4;25.64;79.25;1.466667
29279;0;32.2;21.1;9.4;3.8;25.8;74.25;2.133333
29280;0;33.2;23.3;5.3;6.5;27.68;73.25;2.433333
29283;0.6;26.2;21.6;1.7;1.9;24.3;86.75;1.966667
29285;0;33.8;21.8;10;2;26.66;73.75;2.633333
29286;0;30.7;23.6;6.2;4.4;26.4;82;2.066667
29287;0;29;22.5;6.2;3.6;24.94;83.5;2
29289;0;30.9;21.2;9.7;3.3;25.54;76.25;1.966667
29290;0;32.8;21.2;8.7;3.7;26.84;62.25;1.866667
29291;0;27.9;23.5;0.2;5;25.2;85.75;2.2
29292;6.8;25.5;23.1;0;3;23.8;90;1.333333
29293;4.6;27;21.5;8.2;1.7;23.38;76.75;3.2
29294;0;27;18.6;10.5;5.3;22.38;73.25;3.233333
29295;0;28;20.2;10.6;7.3;23.68;72.75;4.7
29296;0;28.7;20.6;10.3;7.2;24.24;73.5;3.7
29298;0.8;31.8;23.5;7.9;2.7;25.96;84;3.1
29299;0;32.3;22.2;8.4;3.3;26.3;80.75;1.8
29300;0;32.8;22.6;8.6;3.7;26.2;78;1.7
29301;0;33.9;21.6;10;5;26.96;72.75;2.466667
29302;0;36.2;22.2;10.1;5.4;28.78;65;1.566667
29303;0;35.6;24.8;10;6.1;29.5;66.25;1.6
29304;0;35.8;24.6;8.9;6;29.52;63.75;1.766667
29305;0;31.5;22.9;3.6;6.5;25.64;79.5;2.6
29306;4.7;27.8;22.5;2.3;4;24.9;83;1.366667
29307;0;29.6;23.2;0.5;2.2;25.38;79.5;2.1
29308;1.4;29.2;23;0.1;3.8;25.54;75.25;1.6
29309;0;26.2;21.6;0.5;3;23.76;86.5;5.466667
29310;9.4;24.3;19.3;2.2;3.5;20.8;69.5;2.633333
29311;0;26.2;16.6;8.9;5.8;21;65.5;4.333333
29312;0;26.6;17.4;9.5;8;21.44;72.25;3.133333
29313;0;27.2;17.5;8.2;6.5;21.84;72;3.466667
29314;0;28.6;17.4;9.8;6.5;22.16;73.75;2
29315;0;28.5;17.8;9.2;7;22.62;79;2.1
29316;0;27.8;20.6;8.4;4.6;23.2;76.75;2.2
29317;0;27;18.3;8.8;2.7;22.2;76.75;2.366667
29318;0;27.3;18.8;6.5;3.7;22.84;72.5;3.8
29319;0;29.1;20.3;5.3;6.4;24.46;68;3.6
29320;0;30.8;21.5;9.7;5.6;25.72;62.5;2.333333
29321;0;33.8;21;6.7;6.4;25.34;;2.533333
29323;89.3;25.4;18.7;0;4.6;20.34;90.25;5.566667
29325;0;18;13.2;0;4.4;14.84;74;2.433333
29326;1.1;18;9.8;9.3;2;12.8;73.75;2.066667
29327;0;20.9;8.2;9.7;2.8;14.16;67.25;2.1
29330;0;24;20.5;0;2.6;21.8;89.25;0.933333
29331;0.2;27.4;19.8;3.7;1.6;22.7;85;4.2
29332;0;30.5;21;6.7;2.6;23.88;82.25;0.766667
29333;0;31.6;20.3;9.4;2.8;25.18;62.5;1.533333
29334;0;32.4;19.8;9.3;4.3;25.42;71.75;2.266667
29335;0;31.4;20;9;4.9;25.14;68.75;1.866667
29339;0;30.2;18.8;8.6;4;23.78;65.25;0.533333
29340;0;31;17.5;8.8;4.5;24;67;1.2
29341;0;26.8;18.1;0.4;4.5;20.82;76.25;3.333333
29343;38.8;18.4;12.8;2.4;1;15.14;81.25;2.2
29344;1.6;17.6;12.4;8;2.1;13.86;70;3.4
29345;0;17.6;9.6;7.2;2.7;13.38;69.75;3.033333
29346;0;20;10.3;6.8;2.7;13.66;78.75;1.266667
29347;0;22.8;10.4;7.2;18.9;15.22;77.25;0.7
29349;13.5;23.4;14.5;1.9;0.2;18.84;88;0.6
29351;12.2;24.7;17.2;5;2.7;19.54;82.75;1.133333
29352;0;26.4;15.7;7.8;0.8;20.24;76.75;1.6
29353;0;28.4;15.6;9;3.5;21.2;79.5;1.9
29354;0;28.6;16;8.5;3.5;21.6;78.75;0.266667
29355;0;28.8;17.4;8;2.7;22.38;72.75;0.933333
29356;0;28.2;19.2;6.4;2.9;22.88;78.75;0.833333
29358;0.2;22;17;0.3;1.8;19.12;80.75;3.133333
29359;0;24.8;17.8;3.6;2.9;20.92;85;0
29360;8.4;24.8;18.1;3.2;1.4;20.66;86.5;0.766667
29361;0.1;26.4;17.7;4.5;1.6;21.4;82.25;1.366667
29363;5.5;20.3;17;0.4;1.4;18.22;85.75;1.966667
29364;0.1;21.3;12.9;7.9;1.6;16.54;84.25;2.033333
29365;0;23.9;13.7;7.7;2.6;17.86;83.25;1.1
29366;0;21.1;14.2;5.2;1.8;16.74;86.75;1.933333
29367;0;25;14.1;8;1.9;18.54;78.5;0
29368;0;26.2;13.4;8.5;2.7;20.02;69.75;1.666667
29371;0;22.3;17.6;2.3;1.7;19.46;87.5;1.766667
29374;0;14.9;7.8;7.8;1.9;11.16;68.75;3.466667
29382;0;27.5;16;4.1;3.3;20.1;78;0.866667
29384;25.3;19;16.4;0;0.4;17.96;92.75;0.9
29386;0;14.4;10.3;7.5;2.6;11.62;78.25;2.133333
29387;0;17.2;5.4;8.3;1.6;10.7;80.75;0.833333
29388;0;21.2;7;8.4;1.9;12.46;80.5;0.433333
29390;0;26.7;12.8;5.7;2.2;19.7;66.5;2.366667
29392;5;17.4;12;0;2.8;14.22;66.75;4.433333
29393;0.1;18.2;12.1;4.3;5.8;14.54;69.25;4.2
29394;0;18.3;9.6;7.4;4;13.34;77.75;2.866667
29395;0;20.4;8.1;7.2;3.8;13.94;71;2.2
29412;0;14.2;8.5;4.1;2.7;10.32;82.75;2.633333
29423;46.4;16.4;9.1;7.5;1.2;10.9;81.75;1.3
29425;0;18.5;7.4;8.7;2.1;11.84;72.5;1.766667
29429;8.6;19.3;11.8;9.5;6.2;13.94;65.25;2.933333
29430;0;18.9;9.2;2.6;4;15.06;85.25;2.433333
29431;59.6;17.4;9.7;0;1.5;12.3;86.75;5.3
29438;0;22;15.5;2.2;4.8;18;82.25;1.7
29439;6.6;19.3;15.3;2.8;2.2;16.7;77.75;3.2
29440;0;22.8;15.4;8;2.8;17.58;69.75;1.933333
29441;0;18.9;13.7;8.1;3.9;15;75.75;2
29442;0;19.6;8.5;7.2;2.9;13.66;83.25;2.466667
29445;0;16.3;2.3;8.5;3;10.18;76;3.766667
29446;0;22.6;9.2;6.2;4;14.64;74.25;1.566667
29447;0;20.8;10.5;8.4;2.3;14.92;81;2.966667
29448;0;26.1;12.1;6.9;2.3;17.88;80.5;0.5
29451;0.2;19.4;12;2.3;2.3;15.94;83.75;4.3
29452;4.6;17.2;13.9;0;2.3;15.68;92.75;4.366667
29453;0.7;17.7;14.4;0;0.7;15.72;89.25;3.633333
29456;1;16.3;6.3;10;1;9.98;65.5;2.366667
29458;0;18.2;8.5;8.1;2;12.74;72;1.766667
29459;0;13.5;8.2;3.3;3.1;10.74;62.25;7.9
29460;0;13.9;6.2;4.9;4.4;9.78;71.5;2.6
29462;0;24.2;8.7;8.9;3.7;16.94;61.75;2.2
29463;0;26.2;12.4;5.7;4.3;19.32;68.75;0.433333
29464;3;22;17.8;0;4;19.92;88.75;2.633333
29465;14.8;20.4;14.2;0;1;15.68;89.75;2.133333
29467;0;22.4;13.5;5.8;0.8;15.88;66.25;3.833333
29469;0;17.2;5;9.7;4.6;10.28;68;1.833333
29470;0;22.8;5.7;9.4;2.8;14;53.5;1.366667
29471;0;27.8;7.6;9.4;5.1;16.56;64;1.1
29476;0;24.3;10.6;7.7;2.5;16.06;80;2.766667
29478;0;29.1;16.5;1.9;4.4;20.98;78.5;2.2
29480;7;12.8;5.8;8.1;1.3;9.5;61.5;6.3
29481;0;16.5;5.5;9.9;2.2;11.6;69.75;3.866667
29486;0;16.7;8.3;9.4;3.2;11.18;65;2.966667
29488;0;17.7;8.3;9.9;2.7;12.58;71.75;2.033333
29489;0;17.4;8.2;9.3;3.3;12.78;72.25;3.166667
29490;0;20;9.3;10.7;5.1;14.58;57;6.533333
29491;0;20.3;11.3;0;9.8;15.76;62;3.966667
29494;0.6;28.1;16.2;10.2;2.7;20.6;72;3.533333
29495;0;31.8;15.2;5.5;5.5;22.88;70.5;1.466667
29496;0;31.2;18.4;6;5.1;23.8;65;1.633333
29497;0;25.6;19.6;1.8;5.4;21.7;83.25;2.366667
29499;9.3;16.6;11.8;9.9;1.4;13.44;73.5;3.133333
29500;0;16.3;8.8;9.4;5.4;12.5;68.5;3.933333
29502;0.1;15.8;14.3;0;10;14.98;93.75;2.3
29503;11.3;23.1;12.2;8.1;0.5;17.3;79.5;2.2
