Date;Precipitation;MaxTemp;MinTemp;Insolation;Evaporation;AvgTemp;AvgHumidity;AvgWindSpeed
40001;13.4;20;15.6;0.6;1.4;17.58;93.5;2.766667
40002;5.8;18.1;13.7;0;0.4;15.04;94.25;1.533333
40003;15.9;15.2;10.9;0;0.3;13.02;94.25;1.766667
40004;1.9;17;13.3;0;0.1;15.26;91.25;1.633333
40005;0.1;16.5;8.6;0.3;0.4;11.54;81.5;2.333333
40006;0;15.6;6.3;7.8;0.9;9.84;82;1.966667
40007;0;18.2;6.1;5;0.8;12.52;78.75;0.933333
40008;0;16.2;8.2;6.9;1.1;10.38;75.25;1.933333
40009;0;14.4;5.6;0;1.2;10.76;85.5;1.266667
40010;3.5;14.1;11.7;0;0.5;13.26;98.25;1
40011;4.6;16.4;10.8;5.3;0.1;12.22;81.75;2.3
40012;0;15.7;10;0.9;1.2;12.82;88.75;1.266667
40013;1;18.5;12.3;2.6;0.4;14.52;84.75;0.833333
40014;0.1;21.2;10;7.4;0.8;14.42;76.75;2.266667
40015;0;23.5;13.2;4;2;18.58;68.5;2.1
40016;10.8;24.2;14.3;5.2;2.3;16.6;73;4.933333
40017;0;14.4;6.5;4.8;2;8.36;69.75;4.7
40018;0;10.3;2.8;7.8;2.1;5.66;67;3.866667
40019;0;12.9;0.1;7.7;1;5.36;77.75;1.366667
40020;0;15.6;1.1;8;0.7;7;71.75;1.333333
40021;0;15;2.4;5.8;1.4;7.96;73;1.833333
40022;0;17.8;6.3;3.5;0.9;11.68;74;1.2
40023;0;17.4;6.1;7.7;1.4;10.36;75.75;1.733333
40024;0;14.7;4.8;7.5;2.4;8.34;72;1.533333
40025;0;13.4;4.1;0.7;0.8;9.18;73;2.7
40026;0;19.2;10.4;1.1;1.2;14.24;87.75;1.333333
40027;15.1;16.1;13.2;0;0.8;13.96;92.25;2.966667
40028;2.6;17.4;11.9;2.6;0.8;13.3;87.5;1.466667
40029;0.1;20.6;6.9;7.3;0.5;12.58;79.5;1.833333
40030;0;22.2;10.6;1.4;1.7;17.12;80.25;0.6
40031;16.8;20.4;12.8;5.5;1.2;14.64;69;1.233333
40032;0;15.2;8.8;0;1.8;12.08;87.25;1.333333
40033;60.6;14.4;12.4;0;0.5;13.68;95.75;2.3
40034;28.4;15.9;12.4;0;0.2;14.54;97.25;3.033333
40035;78.8;18.6;11.6;5.4;0.2;13.38;87.5;1.666667
40036;0.5;19;7.3;8.5;0.9;12.38;84.75;1.1
40037;0;24.5;7.1;8.3;1.2;14.32;77.5;1.033333
40038;0;25.4;9.5;8.1;1.8;16.96;68.75;1.733333
40039;0;29.2;10.8;8.7;2.5;19.28;69.75;1.433333
40040;0;32.8;13.7;8.2;2.6;22.54;56.25;1.033333
40041;0;33.6;16.2;8.1;4;24.62;52.25;1.966667
40042;14.1;26.6;12.8;0;5.9;16.04;93.5;2.533333
40043;22.4;16.1;12.2;0;0.2;14.4;91.5;2.9
40044;19.5;19.8;13.8;1.8;0.3;15.7;91.5;4.633333
40045;0.6;17.4;12.2;3;0.6;13.86;89.75;3.1
40046;5;17;10.5;8.1;1.5;12.12;76;2.133333
40047;0;21;5.1;8.4;1.3;12.54;75.5;2.266667
40048;0;24;9.9;7.9;1.8;16.68;71;1.333333
40049;0;21.8;11.2;8.6;2.2;16.06;84;2.3
40050;0;26.4;14.5;6.9;1;18.82;82.5;1.5
40051;0;27.4;14;9;1.6;20.08;62.75;2.366667
40052;0;28.4;13.9;9.1;3.5;20.58;66.25;1.533333
40053;0;29.6;14.4;8.7;2.6;21.32;62.75;1.866667
40054;0;31.6;15.3;9.3;3.1;22.22;64.75;0.833333
40055;0;32;15.5;9.5;4.2;23.12;45.75;1.3
40056;0;33.6;15.9;9;4.4;24.34;50.5;2.066667
40057;0;25.2;18.1;2;5.1;20.26;79.75;2.9
40058;20.8;19.2;17.1;0;1.2;18.26;93.75;1.6
40059;25.7;23.2;17.5;0.4;0.1;19;92.5;0.866667
40060;4;23.8;17;3.6;0.7;19.88;85.5;1.666667
40061;0;23.4;13.4;8;1.2;16.74;79.25;1.733333
40062;0;25.8;13;4.8;1.3;18.32;83.25;1.633333
40063;0;27.5;16.9;2.3;1.4;19.54;88.75;2.033333
40064;29.8;17.9;13.8;0;1.4;14.94;87.75;2.066667
40065;1.4;14.5;10.8;0;0.8;12.42;92.75;1.9
40066;7.8;14.4;11.6;0;0.6;13.24;95.75;2.8
40067;21.9;15.6;13.6;0;0;14.8;96.75;2.966667
40068;47.5;18;14.5;0;0.1;16.52;96.5;1.633333
40069;19.8;19.8;15.5;0.3;0.2;17.02;93.25;2.2
40070;2.8;22.2;14.9;3.6;0.4;17.32;80;2.833333
40071;0;27;13.6;9.9;1.6;19.2;77.75;2.133333
40072;0;26.8;14.7;2.5;1.6;19.42;83.5;1.933333
40073;0;21.5;17.1;0;1.2;18.86;91;2.566667
40074;14;25.4;17.5;0.6;0.7;19.82;77.5;3.566667
40075;0.1;19.6;14.5;5.9;2.9;15.88;63;4.3
40076;0;21;10.8;10.3;2.8;15.94;62.25;2.833333
40077;0;23.6;9.8;10.2;2.6;16.28;72.25;1.1
40078;0;27.8;14.4;6.4;2.2;21.3;72.5;1.166667
40079;0;22.6;13.5;0;2.6;15.88;90.25;3.4
40080;11.9;19.6;11;8.3;0.7;14;74;2.2
40081;0;25.2;9;10.2;1.6;16.16;70;2.766667
40082;0;31.6;13;7.9;2.2;20.9;73.5;1.433333
40083;37.3;21.2;18.2;0;2.3;19.3;95.25;2.133333
40084;46.8;19.1;12.6;0;0.2;14.62;84.75;2.966667
40085;2;16.8;7.8;9.9;1.4;11.6;67;1.766667
40086;0.1;20.4;9;8.8;1.6;14.04;70;2.633333
40087;2.3;14.6;13.2;0;2.9;13.94;94.75;1.033333
40088;9.7;20.6;13.7;7.8;0.1;16.04;74.25;2.433333
40089;0;22.4;12;9.9;1.7;16.58;73.5;2.4
40090;0;28.2;13.3;10.1;1.8;19.86;73.25;2.1
40091;0;33.3;18.9;0.3;2;22.68;79.75;2.2
40092;37.5;23;16.9;0;2.7;18.74;87;1.3
40093;0.3;19.5;14.3;1.9;1;16.08;77.25;3.4
40094;0;20;11.4;9.5;1.4;14.46;71.5;3.233333
40095;0;22.4;10.4;10.5;2;16.04;72;2.233333
40096;0;26;12.4;10.2;1.4;18.48;71.5;2.666667
40097;0;30;15.1;5.1;2.4;20.6;85;2.633333
40098;27.3;23.6;15.3;4.6;1.8;18.04;74;1.433333
40099;0;26.9;11.2;10.6;1.6;18.18;67;1.266667
