Date;Precipitation;MaxTemp;MinTemp;Insolation;Evaporation;AvgTemp;AvgHumidity;AvgWindSpeed;NoonAngle;Precipitation__1;Precipitation__2;Precipitation__3;MaxTemp__1;MaxTemp__2;MaxTemp__3;MinTemp__1;MinTemp__2;MinTemp__3;Insolation__1;Insolation__2;Insolation__3;Evaporation__1;Evaporation__2;Evaporation__3;AvgTemp__1;AvgTemp__2;AvgTemp__3;AvgHumidity__1;AvgHumidity__2;AvgHumidity__3;AvgWindSpeed__1;AvgWindSpeed__2;AvgWindSpeed__3;NoonAngle__1;NoonAngle__2;NoonAngle__3
40004.0;1.9;17.0;13.3;0.0;0.1;15.26;91.25;1.633333;37.62914274103578;15.9;5.8;13.4;15.2;18.1;20.0;10.9;13.7;15.6;0.0;0.0;0.6;0.3;0.4;1.4;13.02;15.04;17.58;94.25;94.25;93.5;1.766667;1.533333;2.766667;37.512068270873755;37.40164834150641;37.29791562796734
40005.0;0.1;16.5;8.6;0.3;0.4;11.54;81.5;2.333333;37.75283710777322;1.9;15.9;5.8;17.0;15.2;18.1;13.3;10.9;13.7;0.0;0.0;0.0;0.1;0.3;0.4;15.26;13.02;15.04;91.25;94.25;94.25;1.633333;1.766667;1.533333;37.62914274103578;37.512068270873755;37.40164834150641
40006.0;0.0;15.6;6.3;7.8;0.9;9.84;82.0;1.966667;37.883114767932916;0.1;1.9;15.9;16.5;17.0;15.2;8.6;13.3;10.9;0.3;0.0;0.0;0.4;0.1;0.3;11.54;15.26;13.02;81.5;91.25;94.25;2.333333;1.633333;1.766667;37.75283710777322;37.62914274103578;37.512068270873755
40007.0;0.0;18.2;6.1;5.0;0.8;12.52;78.75;0.933333;38.01993717025833;0.0;0.1;1.9;15.6;16.5;17.0;6.3;8.6;13.3;7.8;0.3;0.0;0.9;0.4;0.1;9.84;11.54;15.26;82.0;81.5;91.25;1.966667;2.333333;1.633333;37.883114767932916;37.75283710777322;37.62914274103578
40008.0;0.0;16.2;8.2;6.9;1.1;10.38;75.25;1.933333;38.163263826801156;0.0;0.0;0.1;18.2;15.6;16.5;6.1;6.3;8.6;5.0;7.8;0.3;0.8;0.9;0.4;12.52;9.84;11.54;78.75;82.0;81.5;0.933333;1.966667;2.333333;38.01993717025833;37.883114767932916;37.75283710777322
40009.0;0.0;14.4;5.6;0.0;1.2;10.76;85.5;1.266667;38.313052324896944;0.0;0.0;0.0;16.2;18.2;15.6;8.2;6.1;6.3;6.9;5.0;7.8;1.1;0.8;0.9;10.38;12.52;9.84;75.25;78.75;82.0;1.933333;0.933333;1.966667;38.163263826801156;38.01993717025833;37.883114767932916
40010.0;3.5;14.1;11.7;0.0;0.5;13.26;98.25;1.0;38.46925833971923;0.0;0.0;0.0;14.4;16.2;18.2;5.6;8.2;6.1;0.0;6.9;5.0;1.2;1.1;0.8;10.76;10.38;12.52;85.5;75.25;78.75;1.266667;1.933333;0.933333;38.313052324896944;38.163263826801156;38.01993717025833
40011.0;4.6;16.4;10.8;5.3;0.1;12.22;81.75;2.3;38.631835647395135;3.5;0.0;0.0;14.1;14.4;16.2;11.7;5.6;8.2;0.0;0.0;6.9;0.5;1.2;1.1;13.26;10.76;10.38;98.25;85.5;75.25;1.0;1.266667;1.933333;38.46925833971923;38.313052324896944;38.163263826801156
40012.0;0.0;15.7;10.0;0.9;1.2;12.82;88.75;1.266667;38.80073613868369;4.6;3.5;0.0;16.4;14.1;14.4;10.8;11.7;5.6;5.3;0.0;0.0;0.1;0.5;1.2;12.22;13.26;10.76;81.75;98.25;85.5;2.3;1.0;1.266667;38.631835647395135;38.46925833971923;38.313052324896944
40013.0;1.0;18.5;12.3;2.6;0.4;14.52;84.75;0.833333;38.975909833212164;0.0;4.6;3.5;15.7;16.4;14.1;10.0;10.8;11.7;0.9;5.3;0.0;1.2;0.1;0.5;12.82;12.22;13.26;88.75;81.75;98.25;1.266667;2.3;1.0;38.80073613868369;38.631835647395135;38.46925833971923
40014.0;0.1;21.2;10.0;7.4;0.8;14.42;76.75;2.266667;39.15730489426609;1.0;0.0;4.6;18.5;15.7;16.4;12.3;10.0;10.8;2.6;0.9;5.3;0.4;1.2;0.1;14.52;12.82;12.22;84.75;88.75;81.75;0.833333;1.266667;2.3;38.975909833212164;38.80073613868369;38.631835647395135
40015.0;0.0;23.5;13.2;4.0;2.0;18.58;68.5;2.1;39.34486764412852;0.1;1.0;0.0;21.2;18.5;15.7;10.0;12.3;10.0;7.4;2.6;0.9;0.8;0.4;1.2;14.42;14.52;12.82;76.75;84.75;88.75;2.266667;0.833333;1.266667;39.15730489426609;38.975909833212164;38.80073613868369
40016.0;10.8;24.2;14.3;5.2;2.3;16.6;73.0;4.933333;39.53854257996419;0.0;0.1;1.0;23.5;21.2;18.5;13.2;10.0;12.3;4.0;7.4;2.6;2.0;0.8;0.4;18.58;14.42;14.52;68.5;76.75;84.75;2.1;2.266667;0.833333;39.34486764412852;39.15730489426609;38.975909833212164
40017.0;0.0;14.4;6.5;4.8;2.0;8.36;69.75;4.7;39.73827239024365;10.8;0.0;0.1;24.2;23.5;21.2;14.3;13.2;10.0;5.2;4.0;7.4;2.3;2.0;0.8;16.6;18.58;14.42;73.0;68.5;76.75;4.933333;2.1;2.266667;39.53854257996419;39.34486764412852;39.15730489426609
40018.0;0.0;10.3;2.8;7.8;2.1;5.66;67.0;3.866667;39.943997971702686;0.0;10.8;0.0;14.4;24.2;23.5;6.5;14.3;13.2;4.8;5.2;4.0;2.0;2.3;2.0;8.36;16.6;18.58;69.75;73.0;68.5;4.7;4.933333;2.1;39.73827239024365;39.53854257996419;39.34486764412852
40019.0;0.0;12.9;0.1;7.7;1.0;5.36;77.75;1.366667;40.15565844683195;0.0;0.0;10.8;10.3;14.4;24.2;2.8;6.5;14.3;7.8;4.8;5.2;2.1;2.0;2.3;5.66;8.36;16.6;67.0;69.75;73.0;3.866667;4.7;4.933333;39.943997971702686;39.73827239024365;39.53854257996419
40020.0;0.0;15.6;1.1;8.0;0.7;7.0;71.75;1.333333;40.37319118189011;0.0;0.0;0.0;12.9;10.3;14.4;0.1;2.8;6.5;7.7;7.8;4.8;1.0;2.1;2.0;5.36;5.66;8.36;77.75;67.0;69.75;1.366667;3.866667;4.7;40.15565844683195;39.943997971702686;39.73827239024365
40021.0;0.0;15.0;2.4;5.8;1.4;7.96;73.0;1.833333;40.596531805443945;0.0;0.0;0.0;15.6;12.9;10.3;1.1;0.1;2.8;8.0;7.7;7.8;0.7;1.0;2.1;7.0;5.36;5.66;71.75;77.75;67.0;1.333333;1.366667;3.866667;40.37319118189011;40.15565844683195;39.943997971702686
40022.0;0.0;17.8;6.3;3.5;0.9;11.68;74.0;1.2;40.82561422740835;0.0;0.0;0.0;15.0;15.6;12.9;2.4;1.1;0.1;5.8;8.0;7.7;1.4;0.7;1.0;7.96;7.0;5.36;73.0;71.75;77.75;1.833333;1.333333;1.366667;40.596531805443945;40.37319118189011;40.15565844683195
